#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000409638.7	chr2	+	219245454	219250337	219245999	219248559	8	219245454,219245895,219246656,219247112,219247414,219247661,219248192,219248420,	219245522,219246085,219246876,219247246,219247535,219247757,219248314,219250337,	O75716	uc002vko.3
ENST00000396738.7	chr2	+	219245478	219250337	219245999	219248559	8	219245478,219245895,219246656,219247112,219247414,219247661,219248192,219248420,	219245796,219246085,219246876,219247246,219247535,219247757,219248314,219250337,	O75716	uc002vkp.4
ENST00000248437.9	chr2	-	219249709	219253918	219250351	219253858	4	219249709,219251564,219252007,219253855,	219251323,219251713,219252230,219253918,	P68366	uc002vkt.4
ENST00000392088.6	chr2	-	219249710	219254608	219250351	219252188	4	219249710,219251564,219252007,219254094,	219251323,219251713,219252230,219254608,	P68366	uc010zkz.2
ENST00000498660.1	chr2	-	219250728	219253901	219250728	219250728	3	219250728,219251564,219253855,	219251323,219251713,219253901,		uc061suw.1
ENST00000398989.2	chr2	-	219250771	219277876	219250771	219251239	2	219250771,219277813,	219251323,219277876,	C9JDS9	uc061sux.1
ENST00000427737.5	chr2	-	219251112	219278170	219251112	219252188	4	219251112,219251564,219252007,219277813,	219251323,219251713,219252230,219278170,	C9JQ00	uc061suy.1
ENST00000456818.5	chr2	-	219251172	219253145	219251172	219253067	4	219251172,219251564,219252007,219252995,	219251323,219251713,219252230,219253145,	C9JJQ8	uc061suz.1
ENST00000447205.1	chr2	-	219251193	219253354	219251193	219252188	4	219251193,219251564,219252007,219253208,	219251323,219251713,219252230,219253354,	C9JEV8	uc061sva.1
ENST00000462806.5	chr2	-	219251193	219253916	219251193	219251193	3	219251193,219252007,219253855,	219251713,219252230,219253916,		uc061svb.1
ENST00000475683.1	chr2	-	219251538	219253916	219251538	219251538	2	219251538,219253855,	219252230,219253916,		uc061svc.1
ENST00000425551.1	chr2	-	219251586	219252993	219251586	219252787	3	219251586,219252007,219252778,	219251713,219252230,219252993,	C9JDL2	uc061svd.1
ENST00000473885.5	chr2	+	219253242	219272011	219253242	219253242	4	219253242,219266222,219270233,219271508,	219253419,219266566,219270335,219272011,		uc284pqh.1
ENST00000485041.5	chr2	+	219253242	219272011	219253242	219253242	4	219253242,219266222,219270228,219271508,	219253419,219266566,219270335,219272011,		uc284pqi.1
ENST00000490341.3	chr2	+	219253242	219272197	219253407	219271699	4	219253242,219266520,219270201,219271165,	219253419,219266566,219270335,219272197,	Q9H853	uc284pqj.2
