#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000264276.11	chr2	-	201700266	201780933	201701850	201768885	34	201700266,201704121,201704453,201705138,201705415,201706845,201707868,201709880,201710990,201715671,201718076,201723042,201723329,201724294,201725355,201726483,201726663,201727211,201727704,201728511,201729051,201733275,201738669,201741673,201744257,201746565,201749711,201753145,201754502,201757401,201760880,201767228,201768865,201780876,	201701889,201704218,201704603,201705200,201705461,201707022,201707991,201710038,201711108,201715839,201718210,201723120,201723441,201724459,201725454,201726549,201726866,201727278,201727775,201728640,201729183,201733438,201738735,201741854,201744429,201746748,201749789,201753242,201754671,201757759,201761818,201767383,201768945,201780933,	Q96Q42	uc002uyo.5
ENST00000439495.5	chr2	-	201701686	201744388	201720035	201744388	26	201701686,201704121,201704453,201705138,201705415,201706845,201707868,201709880,201710990,201715671,201718076,201719985,201723042,201723329,201724294,201725355,201726483,201726663,201727211,201727704,201728511,201729051,201733275,201738669,201741673,201744257,	201701889,201704218,201704603,201705200,201705461,201707022,201707991,201710038,201711108,201715839,201718210,201720128,201723120,201723441,201724459,201725454,201726549,201726866,201727278,201727775,201728640,201729183,201733438,201738735,201741854,201744388,	H0Y696	uc061rlq.1
ENST00000489440.5	chr2	-	201716641	201726552	201716641	201716641	7	201716641,201718076,201723042,201723329,201724294,201725355,201726483,	201716711,201718210,201723120,201723441,201724459,201725454,201726552,		uc061rlr.1
ENST00000482891.5	chr2	-	201721989	201780956	201721989	201721989	23	201721989,201723329,201724294,201725355,201726483,201726663,201727211,201727704,201728511,201729051,201733275,201738669,201741673,201744257,201746565,201749711,201753145,201754502,201757401,201760880,201767228,201768865,201780876,	201723120,201723441,201724459,201725454,201726549,201726866,201727278,201727775,201728640,201729183,201733438,201738735,201741854,201744429,201746748,201749789,201753242,201754671,201757759,201761818,201767383,201768945,201780956,		uc061rls.1
ENST00000494017.5	chr2	-	201726835	201733453	201726835	201726835	5	201726835,201727211,201728511,201729051,201733275,	201726866,201727278,201728640,201729183,201733453,		uc061rlt.1
ENST00000483703.1	chr2	-	201728617	201738724	201728617	201728617	4	201728617,201729051,201733275,201738537,	201728640,201729183,201733438,201738724,		uc061rlu.1
ENST00000482789.5	chr2	-	201741183	201780956	201741183	201741183	11	201741183,201744257,201746565,201749711,201753145,201754502,201757401,201760880,201767228,201768865,201780876,	201741854,201744429,201746748,201749789,201753242,201754671,201757759,201761818,201767383,201768945,201780956,		uc061rlv.1
ENST00000467448.5	chr2	-	201759456	201780956	201760802	201768885	4	201759456,201767228,201768865,201780876,	201761818,201767383,201768945,201780956,		uc002uyr.4
ENST00000496244.5	chr2	-	201761402	201780956	201761402	201761402	5	201761402,201765790,201767228,201768865,201780876,	201761818,201765827,201767383,201768945,201780956,		uc061rlx.1
ENST00000409632.6	chr2	-	201761575	201780922	201761575	201768885	5	201761575,201767228,201768865,201778440,201780876,	201761818,201767383,201768945,201778487,201780922,	J3KQ33	uc061rly.1
ENST00000410052.1	chr2	-	201761674	201780951	201761674	201768885	5	201761674,201767228,201768865,201779978,201780876,	201761818,201767383,201768945,201780083,201780951,	J3KQ43	uc061rlz.1
ENST00000462747.1	chr2	-	201765382	201780911	201765382	201765382	4	201765382,201767228,201768865,201780876,	201765603,201767383,201768945,201780911,		uc061rma.1
