#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000361874.7	chr2	-	74361153	74380355	74361498	74380037	32	74361153,74362051,74362649,74362993,74363293,74363613,74365074,74365514,74365892,74366243,74366458,74366782,74367044,74367351,74367695,74367970,74368727,74369097,74369299,74369964,74370185,74370465,74370620,74370978,74371536,74372927,74374322,74376741,74377431,74377647,74377999,74380004,	74361636,74362141,74362729,74363177,74363427,74363628,74365241,74365657,74366018,74366375,74366620,74366932,74367107,74367420,74367864,74368131,74368880,74369214,74369491,74370069,74370345,74370544,74370825,74371176,74371728,74372948,74374340,74376762,74377466,74377726,74378245,74380355,	Q14203	uc002skx.3
ENST00000394003.7	chr2	-	74361153	74380355	74361498	74380037	31	74361153,74362051,74362649,74362993,74363293,74363613,74365074,74365514,74365892,74366243,74366458,74366782,74367044,74367351,74367695,74367970,74368727,74369097,74369299,74369964,74370185,74370465,74370620,74370978,74371536,74372927,74374322,74377431,74377647,74377999,74380004,	74361636,74362141,74362729,74363177,74363427,74363628,74365241,74365657,74366018,74366375,74366620,74366932,74367107,74367420,74367864,74368131,74368880,74369214,74369491,74370069,74370345,74370544,74370825,74371176,74371728,74372948,74374340,74377466,74377726,74378245,74380355,	Q14203	uc002skw.2
ENST00000628224.2	chr2	-	74361153	74380355	74361498	74378227	31	74361153,74362051,74362649,74362993,74363293,74365074,74365514,74365892,74366243,74366458,74366782,74367044,74367351,74367695,74367970,74368727,74369097,74369299,74369964,74370185,74370465,74370620,74370978,74371536,74372927,74374322,74376741,74377431,74377647,74377999,74380004,	74361636,74362141,74362729,74363177,74363427,74365241,74365657,74366018,74366375,74366620,74366932,74367107,74367420,74367864,74368131,74368880,74369214,74369491,74370069,74370345,74370544,74370825,74371176,74371728,74372948,74374340,74376762,74377466,74377726,74378245,74380355,	E7EX90	uc061ktk.1
ENST00000491465.5	chr2	-	74361154	74364901	74361154	74361154	5	74361154,74362051,74362649,74362993,74363293,	74361636,74362141,74362729,74363177,74364901,		uc061ktl.1
ENST00000497666.1	chr2	-	74361154	74369395	74361154	74361154	2	74361154,74369299,	74361537,74369395,		uc061ktm.1
ENST00000434055.5	chr2	-	74361155	74391867	74366302	74378227	27	74361155,74362051,74362649,74362993,74363293,74365074,74365514,74365892,74366243,74366782,74367044,74367351,74367695,74367970,74368727,74369097,74369299,74369964,74370185,74370465,74370620,74370978,74371536,74377431,74377647,74377999,74391793,	74361636,74362141,74362729,74363177,74363427,74365241,74365657,74366018,74366620,74366932,74367107,74367420,74367864,74368131,74368880,74369214,74369491,74370069,74370345,74370544,74370825,74371176,74371728,74377466,74377726,74378245,74391867,	Q6AWB1	uc061ktn.1
ENST00000409438.5	chr2	-	74361156	74374735	74361498	74374352	26	74361156,74362051,74362649,74362993,74363293,74365074,74365514,74365892,74366243,74366458,74366782,74367044,74367351,74367695,74367970,74368727,74369097,74369299,74369964,74370185,74370465,74370620,74370978,74371536,74372927,74374322,	74361636,74362141,74362729,74363177,74363427,74365241,74365657,74366018,74366375,74366620,74366932,74367107,74367420,74367864,74368131,74368880,74369214,74369491,74370069,74370345,74370544,74370825,74371176,74371728,74372948,74374735,	Q14203	uc002sku.4
ENST00000633691.1	chr2	-	74361156	74374735	74361498	74374352	27	74361156,74362051,74362649,74362993,74363293,74363613,74365074,74365514,74365892,74366243,74366458,74366782,74367044,74367351,74367695,74367970,74368727,74369097,74369299,74369964,74370185,74370465,74370620,74370978,74371536,74372927,74374322,	74361636,74362141,74362729,74363177,74363427,74363628,74365241,74365657,74366018,74366375,74366620,74366932,74367107,74367420,74367864,74368131,74368880,74369214,74369491,74370069,74370345,74370544,74370825,74371176,74371728,74372948,74374735,	Q14203	uc284ppm.1
ENST00000409240.5	chr2	-	74361156	74392087	74361498	74378227	28	74361156,74362051,74362649,74362993,74363293,74365074,74365514,74365892,74366243,74366458,74366782,74367044,74367351,74367695,74367970,74368727,74369097,74369299,74369964,74370185,74370465,74370620,74370978,74371536,74377431,74377647,74377999,74391793,	74361636,74362141,74362729,74363177,74363427,74365241,74365657,74366018,74366375,74366620,74366932,74367107,74367420,74367864,74368131,74368880,74369214,74369491,74370069,74370345,74370544,74370825,74371176,74371728,74377466,74377726,74378245,74392087,	Q14203	uc002sky.4
ENST00000409868.5	chr2	-	74361157	74391865	74361498	74378227	31	74361157,74362051,74362649,74362993,74363293,74365074,74365514,74365892,74366243,74366458,74366782,74367044,74367351,74367695,74367970,74368727,74369097,74369299,74369964,74370185,74370465,74370620,74370978,74371536,74372927,74374322,74376741,74377431,74377647,74377999,74391793,	74361636,74362141,74362729,74363177,74363427,74365241,74365657,74366018,74366375,74366620,74366932,74367107,74367420,74367864,74368131,74368880,74369214,74369491,74370069,74370345,74370544,74370825,74371176,74371728,74372948,74374340,74376762,74377466,74377726,74378245,74391865,	E7EX90	uc061kto.1
