#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000261868.10	chr15	+	44537146	44562803	44537194	44561149	8	44537146,44537323,44550875,44551430,44554552,44557488,44560248,44561017,	44537237,44537427,44550930,44551522,44554667,44557650,44560322,44562803,	O75822	uc001ztv.5
ENST00000558353.1	chr15	+	44557504	44563029	44557504	44561149	4	44557504,44560248,44561017,44562950,	44557650,44560322,44561742,44563029,	H0YLP3	uc059iph.1
ENST00000261866.12	chr15	-	44562695	44663662	44563120	44663647	40	44562695,44564546,44565853,44566216,44567423,44569397,44570524,44572682,44573546,44574901,44583813,44585635,44589251,44592330,44595258,44596082,44596783,44598264,44598630,44600466,44606024,44608443,44610839,44613429,44615362,44620189,44621758,44622219,44622727,44626330,44628668,44629232,44633504,44648865,44651490,44652128,44657094,44659078,44660431,44663390,	44563301,44564698,44566009,44566305,44567592,44569505,44570658,44572820,44573745,44575041,44584558,44585850,44589414,44592438,44595459,44596355,44596943,44598373,44598836,44600632,44606091,44608605,44610985,44613536,44615566,44620403,44621934,44622347,44622799,44626507,44628844,44629388,44633637,44649011,44651939,44652266,44657296,44659303,44660616,44663662,	Q96JI7	uc001ztx.5
ENST00000559511.5	chr15	-	44562696	44584527	44563120	44584527	8	44562696,44564546,44565853,44566216,44567423,44569397,44570524,44583813,	44563301,44564698,44566009,44566305,44567592,44569505,44570658,44584527,	H0YLK7	uc059ipj.1
ENST00000535302.6	chr15	-	44562853	44663675	44563120	44663647	38	44562853,44564546,44565853,44566216,44567423,44569397,44570524,44572682,44583813,44585635,44589251,44592330,44595258,44596082,44596783,44598264,44598630,44600466,44606024,44608443,44610839,44613429,44615362,44620189,44621758,44622219,44622727,44626330,44628668,44629232,44633504,44648865,44651490,44652128,44657094,44659078,44660431,44663390,	44563301,44564698,44566009,44566305,44567592,44569505,44570658,44572820,44584558,44585850,44589414,44592438,44595459,44596355,44596943,44598373,44598836,44600632,44606091,44608605,44610985,44613536,44615566,44620403,44621934,44622347,44622799,44626507,44628844,44629388,44633637,44649011,44651939,44652266,44657296,44659303,44660616,44663675,	Q96JI7	uc010ueh.3
ENST00000427534.6	chr15	-	44563120	44663647	44563257	44663647	37	44563120,44567423,44569397,44570524,44572682,44573546,44574901,44583813,44585635,44589251,44592330,44595258,44596082,44596783,44598264,44598630,44600466,44606024,44608443,44610839,44613429,44615362,44620189,44621758,44622219,44622727,44626330,44628668,44629232,44633504,44648865,44651490,44652128,44657094,44659078,44660431,44663390,	44563301,44567592,44569505,44570658,44572820,44573745,44575041,44584558,44585850,44589414,44592438,44595459,44596355,44596943,44598373,44598836,44600632,44606091,44608605,44610985,44613536,44615566,44620403,44621934,44622347,44622799,44626507,44628844,44629388,44633637,44649011,44651939,44652266,44657296,44659303,44660616,44663647,	C4B7M2	uc010uei.3
ENST00000560299.1	chr15	-	44564552	44566144	44564552	44564552	2	44564552,44565853,	44564698,44566144,		uc059ipk.1
ENST00000558138.1	chr15	-	44564638	44572824	44564638	44572824	6	44564638,44565853,44566216,44567423,44570524,44572682,	44564698,44566009,44566305,44567592,44570658,44572824,	H0YLR8	uc059ipl.1
ENST00000559347.1	chr15	-	44565965	44572640	44565965	44565965	6	44565965,44566216,44567423,44569397,44570524,44572468,	44566009,44566305,44567592,44569505,44570658,44572640,		uc059ipm.1
ENST00000561268.5	chr15	-	44567337	44573683	44567337	44567337	3	44567337,44572682,44573546,	44567592,44572820,44573683,		uc059ipn.1
ENST00000559933.1	chr15	-	44570552	44573820	44570552	44570552	3	44570552,44572682,44573546,	44570658,44572820,44573820,		uc059ipo.1
ENST00000558319.5	chr15	-	44573356	44663678	44573511	44663647	32	44573356,44574901,44583813,44585635,44589251,44592330,44595258,44596082,44596783,44598264,44598630,44600466,44606024,44608443,44610839,44613429,44615362,44620189,44621758,44622219,44622727,44626330,44628668,44629232,44633504,44648865,44651490,44652128,44657094,44659078,44660431,44663390,	44573745,44575041,44584558,44585850,44589414,44592438,44595459,44596355,44596943,44598373,44598836,44600632,44606091,44608605,44610985,44613536,44615566,44620403,44621934,44622347,44622799,44626507,44628844,44629388,44633637,44649011,44651939,44652266,44657296,44659303,44660616,44663678,	Q96JI7	uc001zty.2
ENST00000558080.1	chr15	-	44573357	44575272	44573357	44573357	2	44573357,44574901,	44573745,44575272,		uc059ipp.1
ENST00000559822.1	chr15	-	44573733	44584451	44583828	44584451	4	44573733,44574901,44583813,44584164,	44573745,44575041,44583935,44584451,	H0YKC1	uc059ipq.1
ENST00000558790.5	chr15	-	44584258	44590528	44584258	44584258	5	44584258,44585635,44588566,44589251,44590420,	44584558,44585850,44588638,44589414,44590528,		uc059ipr.1
ENST00000558253.5	chr15	-	44585651	44590937	44585651	44585651	3	44585651,44589251,44590420,	44585850,44589414,44590937,		uc059ips.1
ENST00000560858.1	chr15	-	44585761	44595273	44588624	44595273	5	44585761,44588566,44589251,44592330,44595258,	44585850,44588638,44589414,44592438,44595273,	H0YKY8	uc059ipt.1
