#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000422982.8	chr10	-	80150888	80205537	80155852	80172861	16	80150888,80157640,80157966,80159099,80161934,80163348,80163533,80164052,80166083,80166889,80167225,80168968,80170799,80172806,80176106,80205342,	80155912,80157763,80158025,80159195,80162028,80163405,80163613,80164143,80166197,80166984,80167313,80169358,80170915,80172869,80176155,80205537,	Q5T0G8	uc001kbs.2
ENST00000372231.7	chr10	-	80150888	80205572	80155852	80172861	15	80150888,80157640,80157966,80159099,80161934,80163348,80163533,80164052,80166083,80166889,80167225,80168968,80170799,80172806,80205342,	80155912,80157763,80158025,80159195,80162028,80163405,80163613,80164143,80166197,80166984,80167313,80169358,80170915,80172869,80205572,	Q5T0G8	uc001kbt.2
ENST00000438331.5	chr10	-	80150888	80205572	80155852	80172861	17	80150888,80157640,80157966,80159099,80161934,80163348,80163533,80164052,80166083,80166889,80167225,80168968,80170799,80172806,80176106,80180940,80205342,	80155912,80157763,80158025,80159195,80162028,80163405,80163613,80164143,80166197,80166984,80167313,80169358,80170915,80172869,80176155,80181136,80205572,	Q5T0G8	uc001kbr.2
ENST00000265447.8	chr10	-	80155123	80172871	80155852	80170871	15	80155123,80157640,80157966,80159099,80161934,80163348,80163533,80164052,80166083,80166889,80167225,80168968,80170799,80171612,80172806,	80155912,80157763,80158025,80159195,80162028,80163405,80163613,80164143,80166197,80166984,80167313,80169358,80170915,80171881,80172871,	P50995	uc057umu.1
ENST00000463340.1	chr10	-	80155587	80158018	80155587	80155587	2	80155587,80157966,	80155912,80158018,		uc057umv.1
ENST00000447489.1	chr10	-	80155639	80162012	80156408	80162012	6	80155639,80156377,80157640,80157966,80159099,80161934,	80155912,80156498,80157763,80158025,80159195,80162012,	H0Y6E1	uc057umw.1
ENST00000481805.1	chr10	-	80166398	80169087	80166398	80166398	3	80166398,80167225,80168968,	80166984,80167313,80169087,		uc057umx.1
ENST00000437799.1	chr10	-	80169079	80173021	80169079	80172861	3	80169079,80170799,80172806,	80169358,80170915,80173021,	Q5T0G7	uc057umy.1
ENST00000463657.1	chr10	-	80172833	80205522	80172833	80172833	4	80172833,80176106,80180940,80205342,	80172869,80176155,80181455,80205522,		uc057umz.1
ENST00000474545.1	chr10	-	80181101	80204919	80181101	80181101	3	80181101,80195730,80204825,	80181455,80195832,80204919,		uc057una.1
