#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000263036.9	chr10	+	13099448	13136923	13109122	13136866	15	13099448,13108137,13109111,13110273,13112452,13116266,13118887,13122384,13123994,13125417,13125945,13127744,13132066,13133501,13136744,	13099958,13108289,13109288,13110476,13112635,13116340,13119040,13122487,13124110,13125567,13126039,13127903,13132197,13133581,13136923,	Q96CV9	uc057rtf.1
ENST00000378764.6	chr10	+	13099602	13137129	13109122	13136866	15	13099602,13108137,13109111,13110273,13112452,13116266,13118905,13122384,13123994,13125417,13125945,13127744,13132066,13133501,13136744,	13099958,13108289,13109288,13110476,13112635,13116340,13119040,13122487,13124110,13125567,13126039,13127903,13132197,13133581,13137129,	Q96CV9	uc057rtg.1
ENST00000487935.1	chr10	+	13100158	13109662	13100158	13100158	3	13100158,13109111,13109472,	13100302,13109288,13109662,		uc057rth.1
ENST00000482140.5	chr10	+	13100162	13118980	13109122	13112463	5	13100162,13109111,13112452,13116266,13118887,	13100302,13109288,13112635,13116340,13118980,	A0A087X2G2	uc057rti.1
ENST00000378747.8	chr10	+	13100162	13138308	13109122	13136866	15	13100162,13108137,13109111,13110273,13112452,13116266,13118887,13122384,13123994,13125417,13125945,13127744,13132066,13133501,13136744,	13100302,13108289,13109288,13110476,13112635,13116340,13119040,13122487,13124110,13125567,13126039,13127903,13132197,13133581,13138308,	Q96CV9	uc001ilv.3
ENST00000378757.6	chr10	+	13100168	13138308	13109122	13136866	14	13100168,13109111,13110273,13112452,13116266,13118887,13122384,13123994,13125417,13125945,13127744,13132066,13133501,13136744,	13100302,13109288,13110476,13112635,13116340,13119040,13122487,13124110,13125567,13126039,13127903,13132197,13133581,13138308,	Q96CV9	uc001ilx.2
ENST00000430081.5	chr10	+	13100172	13116327	13109122	13110202	5	13100172,13109111,13110179,13112452,13116266,	13100302,13109288,13110476,13112635,13116327,	X6RKL2	uc057rtj.1
ENST00000378748.7	chr10	+	13100172	13138291	13109122	13136866	16	13100172,13108137,13108961,13109096,13110273,13112452,13116266,13118887,13122384,13123994,13125417,13125945,13127744,13132066,13133501,13136744,	13100302,13108289,13109015,13109288,13110476,13112635,13116340,13119040,13122487,13124110,13125567,13126039,13127903,13132197,13133581,13138291,	Q96CV9	uc001ilw.2
ENST00000378752.7	chr10	+	13100172	13138291	13109122	13136866	16	13100172,13108137,13108961,13109111,13110273,13112452,13116266,13118905,13122384,13123994,13125417,13125945,13127744,13132066,13133501,13136744,	13100302,13108289,13109015,13109288,13110476,13112635,13116340,13119040,13122487,13124110,13125567,13126039,13127903,13132197,13133581,13138291,	Q96CV9	uc001ily.2
ENST00000486862.1	chr10	+	13112486	13116540	13112486	13116440	2	13112486,13116266,	13112635,13116540,	A0A087WY28	uc057rtk.1
ENST00000424614.1	chr10	+	13116267	13123198	13116267	13122914	4	13116267,13118887,13122384,13122863,	13116340,13119040,13122487,13123198,	H7C1H4	uc057rtl.1
ENST00000469025.1	chr10	+	13131318	13136918	13131318	13131318	4	13131318,13132066,13133501,13136744,	13131575,13132197,13133581,13136918,		uc057rtm.1
