#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000506042.5	chr5	+	179806397	179813024	179806397	179806397	3	179806397,179811573,179812406,	179806591,179811682,179813024,		uc063kqu.1
ENST00000514093.5	chr5	+	179806407	179825226	179823004	179825226	6	179806407,179811573,179822957,179823857,179824181,179825145,	179806591,179811682,179823053,179824087,179824323,179825226,	E9PFW8	uc063kqv.1
ENST00000506690.1	chr5	+	179807323	179813598	179807323	179807323	3	179807323,179811573,179812406,	179808427,179811682,179813598,		uc003mkt.1
ENST00000512234.1	chr5	+	179811614	179813641	179811614	179811614	2	179811614,179811987,	179811682,179813641,		uc063kqw.1
ENST00000422245.5	chr5	+	179818877	179824323	179823004	179824323	4	179818877,179822957,179823857,179824181,	179819037,179823053,179824087,179824323,	C9JRJ8	uc063kqx.1
ENST00000481335.5	chr5	+	179818966	179823968	179818966	179818966	4	179818966,179820103,179822957,179823857,	179819037,179820387,179823053,179823968,		uc063kqy.1
ENST00000464493.5	chr5	+	179820606	179824287	179820606	179820606	4	179820606,179822957,179823857,179824181,	179820706,179823053,179824087,179824287,		uc063kqz.1
ENST00000508284.5	chr5	+	179820877	179824237	179820936	179823030	4	179820877,179823025,179823857,179824181,	179821141,179823053,179824087,179824237,	D6RBF1	uc063kra.1
ENST00000626660.1	chr5	+	179820884	179821567	179820936	179821567	2	179820884,179821550,	179821141,179821567,	C9J6J8	uc063krb.1
ENST00000453046.5	chr5	+	179820904	179823939	179820936	179821567	4	179820904,179821550,179822957,179823857,	179821141,179821707,179823053,179823939,	C9J6J8	uc063krc.1
ENST00000504627.1	chr5	+	179820904	179824057	179820936	179824057	3	179820904,179822888,179823857,	179821141,179823053,179824057,	E3W990	uc063krd.1
ENST00000389805.9	chr5	+	179820904	179838078	179820936	179836593	8	179820904,179822957,179823857,179824181,179825145,179833031,179833586,179836435,	179821141,179823053,179824087,179824323,179825226,179833246,179833782,179838078,	Q13501	uc003mkw.6
ENST00000510187.5	chr5	+	179820920	179837218	179820936	179836657	7	179820920,179822957,179823857,179824181,179825145,179833031,179836470,	179821141,179823053,179824087,179824323,179825226,179833227,179837218,	E7EMC7	uc063kre.1
ENST00000360718.5	chr5	+	179822484	179837255	179823004	179836593	7	179822484,179823857,179824181,179825145,179833031,179833586,179836435,	179823053,179824087,179824323,179825226,179833246,179833782,179837255,	Q13501	uc003mkx.4
ENST00000485412.1	chr5	+	179823564	179824314	179823564	179823564	2	179823564,179824181,	179824087,179824314,		uc063krf.1
ENST00000466342.1	chr5	+	179823857	179833386	179823857	179823857	4	179823857,179824181,179825145,179833031,	179824087,179824323,179825226,179833386,		uc063krg.1
