#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000553061.1	chr12	+	54276630	54345083	54276630	54276630	2	54276630,54345061,	54277175,54345083,		uc058ovm.1
ENST00000546500.5	chr12	+	54280192	54287087	54280807	54284313	10	54280192,54281385,54281794,54282089,54282393,54282572,54282799,54283811,54284257,54284548,	54280822,54281502,54281941,54282300,54282486,54282665,54282874,54283967,54284317,54287087,	P09651	uc001sfm.4
ENST00000547708.5	chr12	+	54280747	54283878	54280807	54283878	6	54280747,54281385,54281794,54282089,54282799,54283811,	54280822,54281502,54281941,54282138,54282874,54283878,	F8W646	uc058ovn.1
ENST00000547566.5	chr12	+	54280747	54287088	54280807	54284313	11	54280747,54281385,54281794,54282089,54282393,54282572,54282799,54283811,54284257,54286661,54286952,	54280822,54281502,54281941,54282300,54282486,54282665,54282874,54283967,54284317,54286732,54287088,	P09651	uc058ovo.1
ENST00000547870.1	chr12	+	54280748	54282472	54280748	54280748	4	54280748,54281385,54282089,54282393,	54280822,54281941,54282300,54282472,		uc058ovp.1
ENST00000340913.10	chr12	+	54280754	54285214	54280807	54284313	11	54280754,54281385,54281794,54282089,54282393,54282572,54282799,54283078,54283811,54284257,54284548,	54280822,54281502,54281941,54282300,54282486,54282665,54282874,54283234,54283967,54284317,54285214,	P09651	uc001sfl.4
ENST00000551702.5	chr12	+	54280762	54282486	54280807	54282486	4	54280762,54281385,54282089,54282393,	54280822,54281502,54282300,54282486,	F8VTQ5	uc058ovq.1
ENST00000330752.12	chr12	+	54280774	54284881	54280807	54284313	10	54280774,54281385,54281794,54282089,54282393,54282572,54282842,54283811,54284257,54284548,	54280822,54281502,54281941,54282300,54282486,54282669,54282874,54283967,54284317,54284881,	F8W6I7	uc058ovr.1
ENST00000547276.5	chr12	+	54280779	54285251	54280807	54284313	9	54280779,54281385,54281794,54282089,54282393,54282572,54283826,54284257,54284548,	54280822,54281502,54281941,54282300,54282486,54282596,54283967,54284317,54285251,	P09651	uc001sfn.4
ENST00000548688.5	chr12	+	54281005	54282626	54281022	54282626	6	54281005,54281385,54281794,54282089,54282393,54282572,	54281094,54281502,54281941,54282300,54282486,54282626,	F8VZ49	uc058ovs.1
ENST00000550994.1	chr12	+	54281185	54282284	54281797	54282284	4	54281185,54281385,54281794,54282089,	54281295,54281502,54281941,54282284,	F8VYN5	uc058ovt.1
ENST00000550482.1	chr12	+	54282197	54284569	54282197	54284313	6	54282197,54282393,54282572,54282799,54283811,54284257,	54282300,54282486,54282665,54282874,54283967,54284569,	H0YH80	uc058ovu.1
ENST00000551679.1	chr12	+	54283722	54284371	54283722	54283722	2	54283722,54284257,	54283967,54284371,		uc058ovv.1
ENST00000551665.1	chr12	+	54285906	54287051	54285906	54285906	2	54285906,54286952,	54286732,54287051,		uc058ovw.1
ENST00000551803.1	chr12	+	54285946	54287087	54285946	54285946	3	54285946,54286661,54286952,	54286112,54286732,54287087,		uc058ovx.1
