#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000638824.1	chr4	-	169392856	169506734	169392856	169392856	15	169392856,169400224,169400520,169401651,169406595,169424552,169426145,169433544,169438082,169463242,169477123,169477431,169478352,169479402,169506627,	169394523,169400357,169400651,169401860,169406747,169424800,169426234,169433665,169438259,169463395,169477352,169477497,169478380,169479534,169506734,		uc285wyu.1
ENST00000439128.6	chr4	-	169393274	169612612	169394509	169602630	34	169393274,169400224,169400520,169401651,169406595,169424552,169426145,169433544,169438082,169463242,169477123,169477431,169479402,169507036,169507714,169508247,169537808,169555719,169555931,169561479,169561686,169561831,169562136,169576927,169580841,169585348,169587558,169588648,169589446,169590725,169599099,169602007,169602513,169612019,	169394523,169400357,169400651,169401860,169406747,169424800,169426234,169433665,169438259,169463395,169477352,169477497,169479534,169507132,169507792,169508331,169537911,169555851,169556095,169561554,169561737,169561891,169562196,169577079,169580902,169585549,169587613,169588735,169589514,169590809,169599197,169602104,169602678,169612612,	Q96PY6	uc003isb.3
ENST00000511633.5	chr4	-	169393280	169612627	169394509	169602630	35	169393280,169400224,169400520,169401651,169406595,169424552,169426145,169433544,169438082,169463242,169477123,169477431,169479402,169507036,169507714,169508247,169508768,169537808,169555931,169561479,169561686,169561831,169562136,169576927,169580841,169585348,169587558,169588648,169589446,169590725,169599099,169602007,169602513,169612019,169612221,	169394523,169400357,169400651,169401860,169406747,169424800,169426234,169433665,169438259,169463395,169477352,169477497,169479534,169507132,169507792,169508331,169508852,169537911,169556095,169561554,169561737,169561891,169562196,169577079,169580902,169585549,169587613,169588735,169589514,169590809,169599197,169602104,169602678,169612143,169612627,	Q96PY6	uc003ise.3
ENST00000510533.5	chr4	-	169393389	169612583	169394509	169602630	33	169393389,169400224,169400520,169401651,169406595,169424552,169426145,169433544,169438082,169463242,169477123,169477431,169479402,169507036,169507714,169508247,169537808,169555931,169561479,169561686,169561831,169562136,169576927,169580841,169585348,169587558,169588648,169589446,169590725,169599099,169602007,169602513,169612019,	169394523,169400357,169400651,169401860,169406747,169424800,169426234,169433665,169438259,169463395,169477352,169477497,169479534,169507132,169507792,169508331,169537911,169556095,169561554,169561737,169561891,169562196,169577079,169580902,169585549,169587613,169588735,169589514,169590809,169599197,169602104,169602678,169612583,	Q96PY6	uc003isc.3
ENST00000507142.5	chr4	-	169393394	169612629	169394509	169602630	36	169393394,169400224,169400520,169401651,169406595,169424552,169426145,169433544,169438082,169463242,169477123,169477431,169479402,169507036,169507714,169508247,169508768,169537808,169555719,169555931,169561479,169561686,169561831,169562136,169576927,169580841,169585348,169587558,169588648,169589446,169590725,169599099,169602007,169602513,169612019,169612221,	169394523,169400357,169400651,169401860,169406747,169424800,169426234,169433665,169438259,169463395,169477352,169477497,169479534,169507132,169507792,169508331,169508852,169537911,169555851,169556095,169561554,169561737,169561891,169562196,169577079,169580902,169585549,169587613,169588735,169589514,169590809,169599197,169602104,169602678,169612143,169612629,	Q96PY6	uc003isd.3
ENST00000512193.5	chr4	-	169394227	169612627	169394509	169602630	33	169394227,169400224,169400520,169401651,169406595,169424552,169426145,169433544,169438082,169463242,169477123,169477431,169479402,169507036,169507714,169508247,169537808,169555931,169561686,169561831,169562136,169576927,169580841,169585348,169587558,169588648,169589446,169590725,169599099,169602007,169602513,169612019,169612221,	169394523,169400357,169400651,169401860,169406747,169424800,169426234,169433665,169438259,169463395,169477352,169477497,169479534,169507132,169507792,169508331,169537911,169556095,169561737,169561891,169562196,169577079,169580902,169585549,169587613,169588735,169589514,169590809,169599197,169602104,169602678,169612143,169612627,	Q96PY6	uc003isf.3
ENST00000509912.5	chr4	-	169554042	169599143	169554042	169554042	14	169554042,169555931,169561479,169561686,169561831,169562136,169576927,169580841,169585348,169587558,169588648,169589446,169590725,169599099,	169555851,169556095,169561554,169561737,169561891,169562196,169577079,169580902,169585549,169587613,169588735,169589514,169590809,169599143,		uc063axg.1
ENST00000657874.1	chr4	+	169572327	169576451	169572327	169572327	2	169572327,169575429,	169572693,169576451,		uc287qup.1
ENST00000505119.1	chr4	-	169576603	169585499	169576921	169585499	3	169576603,169580841,169585348,	169577079,169580902,169585499,	H0Y8M6	uc063axh.1
ENST00000510108.1	chr4	-	169585348	169612581	169599176	169602630	8	169585348,169587558,169588648,169589446,169590725,169599099,169602513,169612019,	169585549,169587613,169588735,169589514,169590809,169599197,169602662,169612581,	D6RBG5	uc063axi.1
