#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000473118.5	chr1	+	11012343	11020489	11013727	11020489	5	11012343,11013715,11016843,11018732,11020428,	11012428,11013965,11017007,11018873,11020489,	K7EJM5	uc057cds.1
ENST00000240185.7	chr1	+	11012399	11026420	11013727	11022654	6	11012399,11013715,11016843,11018732,11020428,11022123,	11012743,11013965,11017007,11018873,11020599,11026420,	Q13148	uc001art.4
ENST00000639083.1	chr1	+	11012423	11023609	11013727	11022654	6	11012423,11013715,11016843,11018732,11020428,11022123,	11012480,11013965,11017007,11018873,11020599,11023609,	Q13148	uc285gaj.1
ENST00000639599.1	chr1	+	11012424	11024183	11013727	11023248	8	11012424,11013715,11016843,11018732,11020428,11022123,11023192,11024063,	11012606,11013965,11017007,11018873,11020599,11022241,11023329,11024183,	B1AKP7	uc285gak.1
ENST00000629725.2	chr1	+	11012621	11023248	11013727	11023248	7	11012621,11013715,11016843,11018732,11020428,11022123,11023192,	11012743,11013965,11017007,11018873,11020599,11022250,11023248,	G3V162	uc057cdt.1
ENST00000439080.6	chr1	+	11012652	11022858	11013727	11018749	5	11012652,11013715,11018732,11020428,11022123,	11012743,11013965,11018873,11020599,11022858,	A0A0A0MSV7	uc057cdu.1
ENST00000613864.4	chr1	+	11012653	11018453	11012653	11012653	4	11012653,11013715,11016843,11018373,	11012743,11013965,11017007,11018453,		uc057cdv.1
ENST00000476201.5	chr1	+	11012653	11020589	11013727	11020589	6	11012653,11013715,11015523,11016843,11018732,11020428,	11012743,11013965,11015646,11017007,11018873,11020589,	K7EN94	uc057cdw.1
ENST00000472476.5	chr1	+	11012653	11022176	11013727	11016127	7	11012653,11013715,11016122,11016843,11018732,11020428,11022123,	11012743,11013965,11016254,11017007,11018873,11020599,11022176,	K7EJ99	uc057cdx.1
ENST00000614757.4	chr1	+	11012661	11030528	11013727	11023248	10	11012661,11013715,11016843,11018732,11020428,11022123,11023192,11024063,11025109,11030178,	11012743,11013965,11017007,11018873,11020599,11022250,11023329,11024335,11025208,11030528,	G3V162	uc057cdy.1
ENST00000621715.4	chr1	+	11012669	11022310	11013727	11022310	5	11012669,11013715,11016843,11018732,11022123,	11012743,11013965,11017007,11018873,11022310,	A0A087WX29	uc057cdz.1
ENST00000315091.7	chr1	+	11013715	11024183	11013727	11023248	6	11013715,11016843,11018732,11020428,11022123,11023192,	11013965,11017007,11018873,11020599,11022241,11024183,	B1AKP7	uc057cea.1
ENST00000473869.5	chr1	+	11013715	11025019	11013727	11023248	7	11013715,11016843,11018732,11020428,11022123,11023192,11024063,	11013965,11017007,11018873,11020599,11022250,11023329,11025019,	G3V162	uc057ceb.1
