#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000509400.5	chr5	-	139121034	139293534	139121034	139121034	5	139121034,139127738,139280567,139285247,139293422,	139121173,139127853,139280685,139285310,139293534,		uc063hop.1
ENST00000508744.1	chr5	-	139273537	139293557	139273537	139273537	4	139273537,139280567,139285247,139293273,	139273654,139280685,139285310,139293557,		uc063hos.1
ENST00000509990.5	chr5	+	139273751	139329404	139307415	139329395	17	139273751,139276120,139279050,139307238,139314674,139315696,139316075,139317052,139317595,139318907,139319333,139321897,139322462,139322597,139325439,139326162,139329344,	139274161,139276150,139279129,139308327,139314736,139315738,139316188,139317105,139317721,139319033,139319501,139322029,139322506,139322967,139325662,139326284,139329404,		uc010jfb.4
ENST00000506147.5	chr5	+	139273788	139316148	139315736	139316148	5	139273788,139276120,139314674,139315696,139316075,	139274161,139276150,139314736,139315738,139316148,	D6R9N0	uc063hou.2
ENST00000512107.5	chr5	+	139273837	139316093	139315736	139316093	6	139273837,139276120,139278326,139279050,139315696,139316075,	139274165,139276150,139278408,139279129,139315738,139316093,		uc063hov.1
ENST00000448190.6	chr5	+	139274101	139279839	139274101	139274101	5	139274101,139276120,139278326,139279050,139279548,	139274161,139276150,139278408,139279129,139279839,		uc063how.1
ENST00000648842.1	chr5	+	139274101	139280947	139274101	139274101	5	139274101,139276120,139278326,139279050,139279934,	139274161,139276150,139278408,139279129,139280947,		uc285xqh.1
ENST00000507692.5	chr5	+	139274102	139279388	139274102	139274102	5	139274102,139274363,139276120,139278326,139279050,	139274161,139274429,139276150,139278408,139279388,		uc063hox.1
ENST00000506188.5	chr5	+	139274102	139282989	139274102	139274102	7	139274102,139276120,139278326,139278564,139279050,139279934,139282738,	139274161,139276150,139278408,139278740,139279129,139280058,139282989,		uc063hoy.1
ENST00000361059.7	chr5	+	139274102	139330394	139307415	139329395	18	139274102,139276120,139278326,139279050,139307238,139314674,139315696,139316075,139317052,139317595,139318907,139319333,139321897,139322462,139322597,139325439,139326162,139329344,	139274161,139276150,139278408,139279129,139308327,139314736,139315738,139316188,139317105,139317721,139319033,139319501,139322029,139322506,139322967,139325662,139326284,139330394,	A0A0R4J2E8	uc284pxl.1
ENST00000513259.5	chr5	+	139274103	139280059	139274103	139274103	6	139274103,139274363,139276120,139278326,139279050,139279934,	139274165,139274429,139276150,139278408,139279129,139280059,		uc063hoz.1
ENST00000514694.5	chr5	+	139274103	139307737	139307415	139307737	3	139274103,139276120,139307238,	139274161,139276150,139307737,	D6R8Z5	uc063hpa.1
ENST00000504203.5	chr5	+	139274103	139329757	139315736	139329395	17	139274103,139276120,139278326,139279050,139314674,139315696,139316075,139317052,139317595,139318907,139319333,139321897,139322462,139322597,139325439,139326162,139329344,	139274161,139276150,139278408,139279129,139314736,139315738,139316188,139317105,139317721,139319033,139319501,139322029,139322506,139322967,139325662,139326284,139329757,	B3KM87	uc003ldt.4
ENST00000502929.5	chr5	+	139274103	139330428	139307415	139329395	20	139274103,139276120,139278326,139279050,139291971,139293452,139307238,139314674,139315696,139316075,139317052,139317595,139318907,139319333,139321897,139322462,139322597,139325295,139326162,139329344,	139274161,139276150,139278408,139279129,139292074,139293575,139308327,139314736,139315738,139316188,139317105,139317721,139319033,139319501,139322029,139322506,139322967,139325662,139326284,139330428,	A8MXP9	uc063hpb.1
ENST00000394800.6	chr5	+	139274103	139331671	139307415	139329395	19	139274103,139276120,139278326,139279050,139293452,139307238,139314674,139315696,139316075,139317052,139317595,139318907,139319333,139321897,139322462,139322597,139325295,139326162,139329344,	139274161,139276150,139278408,139279129,139293575,139308327,139314736,139315738,139316188,139317105,139317721,139319033,139319501,139322029,139322506,139322967,139325662,139326284,139331671,	A8MXP9	uc063hpc.1
ENST00000507197.5	chr5	+	139274117	139283244	139274117	139274117	6	139274117,139276120,139278326,139279050,139279934,139282738,	139274161,139276150,139278408,139279129,139280058,139283244,		uc063hpd.1
ENST00000509644.5	chr5	+	139274123	139317670	139315736	139317670	10	139274123,139276120,139278326,139278564,139279050,139314674,139315696,139316075,139317052,139317595,	139274161,139276150,139278408,139278740,139279129,139314736,139315738,139316188,139317105,139317670,	D6RAM9	uc063hpe.1
ENST00000508735.5	chr5	+	139274130	139279129	139274130	139274130	4	139274130,139276120,139278326,139279050,	139274161,139276150,139278496,139279129,		uc010jfa.4
ENST00000514110.5	chr5	+	139274130	139279586	139274130	139274130	4	139274130,139276120,139278326,139279050,	139274161,139276150,139278408,139279586,		uc063hpf.1
ENST00000505522.6	chr5	+	139274130	139284899	139274130	139274130	5	139274130,139276120,139278326,139279050,139282738,	139274161,139276150,139278408,139279129,139284899,		uc003ldr.5
ENST00000505016.2	chr5	+	139274130	139307556	139307415	139307556	6	139274130,139276120,139278326,139279050,139279934,139307238,	139274161,139276150,139278408,139279129,139280058,139307556,	D6RB45	uc063hpg.1
ENST00000502394.1	chr5	+	139276108	139307714	139307415	139307714	3	139276108,139283530,139307238,	139276150,139283601,139307714,	D6RCM3	uc063hph.1
ENST00000516404.1	chr5	+	139276179	139276320	139276179	139276179	1	139276179,	139276320,		uc021yec.1
ENST00000364089.1	chr5	+	139278780	139278978	139278780	139278780	1	139278780,	139278978,		uc003ldv.2
ENST00000512876.5	chr5	+	139293673	139318987	139315736	139318987	7	139293673,139314674,139315696,139316075,139317052,139317595,139318907,	139293772,139314736,139315738,139316188,139317105,139317721,139318987,	D6RE02	uc063hpj.1
ENST00000513678.5	chr5	+	139293679	139317685	139314734	139317685	5	139293679,139314674,139316075,139317052,139317595,	139293805,139314736,139316188,139317105,139317685,	D6RAY2	uc063hpk.1
ENST00000513121.1	chr5	+	139293715	139315157	139293715	139293715	2	139293715,139314674,	139293805,139315157,		uc063hpl.1
ENST00000504045.5	chr5	+	139293717	139317713	139307415	139317713	7	139293717,139307240,139314674,139315696,139316075,139317052,139317595,	139293772,139308327,139314736,139315738,139316188,139317105,139317713,	D6R991	uc063hpm.1
ENST00000504311.5	chr5	+	139293718	139318942	139315736	139318942	6	139293718,139315696,139316075,139317052,139317595,139318907,	139293772,139315738,139316188,139317105,139317721,139318942,	D6RBI2	uc063hpn.1
ENST00000502499.5	chr5	+	139293721	139330405	139315736	139329395	13	139293721,139315696,139316075,139317052,139317595,139318907,139319333,139321897,139322462,139322597,139325439,139326162,139329344,	139293805,139315738,139316188,139317105,139317721,139319033,139319501,139322029,139322506,139322967,139325662,139326284,139330405,	B3KM87	uc063hpo.1
ENST00000510056.5	chr5	+	139293729	139329760	139307415	139329358	14	139293729,139307238,139314674,139315696,139316075,139317052,139317595,139318907,139319333,139321897,139322462,139322597,139325439,139329344,	139293805,139308327,139314736,139315738,139316188,139317105,139317721,139319033,139319501,139322029,139322506,139322967,139325662,139329760,	D6REM6	uc063hpp.1
ENST00000511249.5	chr5	+	139293736	139319470	139317619	139319470	4	139293736,139317606,139318907,139319333,	139293805,139317721,139319033,139319470,	D6RBK5	uc063hpq.1
ENST00000394805.8	chr5	+	139293739	139331677	139307415	139329395	15	139293739,139307238,139314674,139315696,139316075,139317052,139317595,139318907,139319333,139321897,139322462,139322597,139325439,139326162,139329344,	139293805,139308327,139314736,139315738,139316188,139317105,139317721,139319033,139319501,139322029,139322506,139322967,139325662,139326284,139331677,	P43243	uc003ldx.5
ENST00000507860.1	chr5	+	139293741	139315214	139293741	139293741	2	139293741,139314674,	139293772,139315214,		uc063hpr.1
ENST00000509918.5	chr5	+	139293742	139321994	139293742	139293742	5	139293742,139314674,139315696,139316075,139321897,	139293805,139314736,139315738,139316188,139321994,		uc063hps.1
ENST00000511978.5	chr5	+	139293749	139322029	139293749	139293749	6	139293749,139314674,139315696,139316075,139319333,139321897,	139293805,139314736,139315738,139316188,139319501,139322029,		uc063hpt.1
ENST00000503811.5	chr5	+	139293749	139330002	139293980	139329395	14	139293749,139314674,139315696,139316075,139317052,139317595,139318907,139319333,139321897,139322462,139322597,139325439,139326162,139329344,	139294028,139314736,139315738,139316188,139317105,139317721,139319033,139319501,139322029,139322506,139322967,139325662,139326284,139330002,	P43243	uc011czb.3
ENST00000618441.5	chr5	+	139293777	139330441	139307415	139329395	15	139293777,139307238,139314674,139315696,139316075,139317052,139317595,139318907,139319333,139321897,139322462,139322597,139325439,139326162,139329344,	139294028,139308327,139314736,139315738,139316188,139317105,139317721,139319033,139319501,139322029,139322506,139322967,139325662,139326284,139330441,	P43243	uc003ldz.4
ENST00000508689.1	chr5	+	139293951	139307650	139307415	139307650	2	139293951,139307238,	139294100,139307650,	D6R9F3	uc063hpv.1
ENST00000514528.5	chr5	+	139293964	139317721	139293980	139317721	6	139293964,139314674,139315696,139316075,139317052,139317595,	139294100,139314736,139315738,139316188,139317105,139317721,	D6RIA2	uc063hpw.1
ENST00000504643.5	chr5	+	139293982	139322948	139293982	139293982	9	139293982,139314674,139317052,139317595,139318907,139319333,139321897,139322462,139322597,	139294028,139316188,139317105,139317721,139319033,139319501,139322029,139322506,139322948,		uc063hpx.1
ENST00000514488.1	chr5	+	139294529	139307715	139307415	139307715	2	139294529,139307238,	139294616,139307715,	D6REK4	uc063hpy.1
ENST00000503340.1	chr5	+	139294585	139307677	139307415	139307677	2	139294585,139307238,	139294842,139307677,	D6RBS2	uc063hpz.1
ENST00000504023.1	chr5	+	139294637	139307648	139307415	139307648	2	139294637,139307238,	139294997,139307648,	A0A1B0GX04	uc063hqa.1
ENST00000362675.1	chr5	+	139299851	139299968	139299851	139299851	1	139299851,	139299968,		uc063hqb.1
ENST00000620916.2	chr5	+	139307415	139331677	139307415	139329395	5	139307415,139322768,139325295,139326162,139329344,	139307528,139322967,139325662,139326284,139331677,	Q68E03	uc063hqc.1
ENST00000515833.2	chr5	+	139308094	139322017	139308094	139322017	8	139308094,139314674,139316075,139317052,139317595,139318907,139319333,139321897,	139308327,139314736,139316188,139317105,139317721,139319033,139319501,139322017,	H0Y8T4	uc063hqd.1
ENST00000514402.1	chr5	+	139308242	139315145	139308242	139308242	2	139308242,139314674,	139308327,139315145,		uc063hqe.1
ENST00000505625.5	chr5	+	139310042	139330437	139310042	139310042	13	139310042,139315696,139316075,139317052,139317595,139318907,139319333,139321897,139322462,139322597,139325439,139326162,139329344,	139314736,139315738,139316188,139317105,139317721,139319033,139319501,139322029,139322506,139322967,139325662,139326284,139330437,		uc063hqf.1
ENST00000511333.5	chr5	+	139315346	139317105	139315346	139315346	3	139315346,139316075,139317052,	139315738,139316188,139317105,		uc063hqg.1
ENST00000502422.5	chr5	+	139315750	139329648	139315750	139315750	11	139315750,139317052,139317595,139318907,139319333,139321897,139322462,139322597,139325295,139326162,139329344,	139316188,139317105,139317721,139319033,139319501,139322029,139322506,139322967,139325662,139326284,139329648,		uc063hqh.1
ENST00000502944.1	chr5	+	139321804	139322690	139321804	139321804	3	139321804,139322462,139322597,	139322029,139322506,139322690,		uc063hqi.1
ENST00000512040.1	chr5	+	139322745	139326255	139322745	139322745	3	139322745,139325335,139326162,	139322967,139325662,139326255,		uc063hqj.1
