#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000610945.1	chr12	-	64451590	64452901	64451590	64451590	1	64451590,	64452901,		uc058qjq.1
ENST00000652537.1	chr12	+	64452091	64502048	64455870	64495989	22	64452091,64455839,64460188,64464333,64466900,64474229,64480011,64481841,64484302,64485454,64485925,64488486,64490040,64495482,64495698,64495981,64496366,64496948,64497162,64497647,64497967,64501329,	64452187,64455957,64460329,64464463,64467082,64474390,64480122,64482021,64484499,64485513,64486017,64488588,64490119,64495604,64495775,64496089,64496406,64497050,64497259,64497754,64498039,64502048,	A0A494C1M6	uc287izb.1
ENST00000650790.1	chr12	+	64452100	64502055	64455870	64501381	21	64452100,64455815,64460188,64464333,64466900,64474229,64480011,64481841,64484302,64485454,64485925,64488486,64490040,64495482,64495698,64496366,64496948,64497162,64497647,64497967,64501329,	64452187,64455957,64460329,64464463,64467082,64474390,64480122,64482021,64484499,64485513,64486017,64488588,64490119,64495604,64495775,64496406,64497050,64497259,64497754,64498039,64502055,	Q9UHD2	uc287gkk.1
ENST00000652657.1	chr12	+	64452111	64502100	64455870	64501381	20	64452111,64455839,64460188,64464333,64466900,64474229,64480011,64481841,64484302,64485454,64485925,64488486,64490040,64495482,64495698,64496366,64496948,64497162,64497647,64501329,	64452187,64455957,64460329,64464463,64467082,64474390,64480122,64482021,64484499,64485513,64486017,64488588,64490119,64495604,64495775,64496406,64497050,64497259,64497754,64502100,	A0A494C148	uc287jdo.1
ENST00000652389.1	chr12	+	64452116	64494037	64455870	64490158	14	64452116,64455839,64460188,64464333,64466900,64474229,64480011,64481841,64484302,64485454,64485925,64488486,64490040,64493530,	64452187,64455957,64460329,64464463,64467082,64474390,64480122,64482021,64484499,64485513,64486017,64488588,64490274,64494037,	A0A494C079	uc287itk.1
ENST00000650997.1	chr12	+	64452119	64502056	64455870	64499124	22	64452119,64455839,64460188,64464333,64466900,64474229,64480011,64481841,64484302,64485454,64485925,64488486,64490040,64495482,64495698,64496366,64496948,64497162,64497647,64497967,64499066,64501329,	64452187,64455957,64460329,64464463,64467082,64474390,64480122,64482021,64484499,64485513,64486017,64488588,64490119,64495604,64495775,64496406,64497050,64497259,64497754,64498039,64499280,64502056,	A0A494C045	uc287gsf.1
ENST00000651262.1	chr12	+	64452119	64502071	64455870	64496379	20	64452119,64455839,64460188,64464333,64466900,64474229,64480011,64481841,64484302,64485454,64485925,64488486,64490040,64495482,64496366,64496948,64497162,64497647,64497967,64501329,	64452187,64455957,64460329,64464463,64467082,64474390,64480122,64482021,64484499,64485513,64486017,64488588,64490119,64495604,64496406,64497050,64497259,64497754,64498039,64502071,	A0A494C0A8	uc287hch.1
ENST00000331710.10	chr12	+	64452119	64502114	64455870	64501381	21	64452119,64455839,64460188,64464333,64466900,64474229,64480011,64481841,64484302,64485454,64485925,64488486,64490040,64495482,64495698,64496366,64496948,64497162,64497647,64497967,64501329,	64452187,64455957,64460329,64464463,64467082,64474390,64480122,64482021,64484499,64485513,64486017,64488588,64490119,64495604,64495775,64496406,64497050,64497259,64497754,64498039,64502114,	Q9UHD2	uc001ssc.4
ENST00000651947.1	chr12	+	64452130	64490376	64452130	64452130	14	64452130,64455839,64460188,64464333,64466900,64474229,64480011,64481841,64484302,64485454,64485925,64488486,64490040,64490199,	64452187,64455957,64460329,64464463,64467082,64474390,64480122,64482021,64484499,64485513,64486017,64488588,64490119,64490376,		uc287ick.1
ENST00000650762.1	chr12	+	64452130	64501741	64460257	64501381	20	64452130,64455916,64460188,64464333,64466900,64474229,64480011,64481841,64484302,64485454,64485925,64490040,64495482,64495698,64496366,64496948,64497162,64497647,64497967,64501329,	64452187,64455957,64460329,64464463,64467082,64474390,64480122,64482021,64484499,64485513,64486017,64490119,64495604,64495775,64496406,64497050,64497259,64497754,64498039,64501741,	A0A494C0X2	uc287gji.1
ENST00000650786.1	chr12	+	64452137	64502086	64455870	64457786	22	64452137,64455839,64457750,64460188,64464333,64466900,64474229,64480011,64481841,64484302,64485454,64485925,64488486,64490040,64495482,64495698,64496366,64496948,64497162,64497647,64497967,64501329,	64452187,64455957,64458018,64460329,64464463,64467082,64474390,64480122,64482021,64484499,64485513,64486017,64488588,64490119,64495604,64495775,64496406,64497050,64497259,64497754,64498039,64502086,	A0A494BZY3	uc287gkg.1
