#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000370263.9	chr20	-	63343222	63361349	63346737	63361165	6	63343222,63349652,63355974,63356370,63359547,63361089,	63346863,63351027,63356084,63356415,63359699,63361349,	P43681	uc002yes.5
ENST00000615287.4	chr20	-	63343309	63361396	63346737	63356044	7	63343309,63349652,63355495,63355974,63356370,63359547,63361089,	63346863,63351027,63355595,63356084,63356415,63359699,63361396,	P43681	uc010gke.2
ENST00000463705.5	chr20	-	63344068	63377993	63344068	63344068	5	63344068,63349652,63373880,63375252,63377754,	63346863,63351027,63374532,63375392,63377993,		uc061ymb.1
ENST00000631289.1	chr20	-	63346095	63346935	63346095	63346095	1	63346095,	63346935,		uc061ymc.1
ENST00000498043.6	chr20	-	63346593	63359699	63351021	63359699	6	63346593,63349652,63355495,63355974,63356370,63359547,	63346863,63351027,63355595,63356084,63356415,63359699,	H0YBH1	uc061ymd.1
ENST00000467563.3	chr20	-	63346593	63361304	63346593	63346593	6	63346593,63349652,63355956,63356370,63359547,63361176,	63346863,63351027,63356084,63356415,63359699,63361304,		uc061yme.1
ENST00000627000.1	chr20	-	63346593	63361304	63356046	63361165	6	63346593,63349652,63355974,63356370,63359547,63361089,	63346863,63351027,63356109,63356415,63359699,63361304,	A0A0D9SFU6	uc061ymf.1
ENST00000630240.1	chr20	-	63349528	63351131	63349528	63349528	1	63349528,	63351131,		uc061ymg.1
ENST00000628665.1	chr20	-	63350907	63361190	63350907	63350907	5	63350907,63355956,63356370,63359547,63361089,	63351027,63356084,63356415,63359699,63361190,		uc061ymh.1
ENST00000637243.1	chr20	-	63350976	63354566	63350976	63350976	2	63350976,63354532,	63351027,63354566,		uc285syn.1
ENST00000636652.1	chr20	-	63354655	63356070	63354655	63354655	2	63354655,63355974,	63354754,63356070,		uc285syo.1
ENST00000637628.1	chr20	-	63355376	63356041	63355376	63355376	2	63355376,63355974,	63355409,63356041,		uc285syp.1
ENST00000627869.1	chr20	-	63355642	63356138	63355642	63355642	1	63355642,	63356138,		uc061ymi.1
ENST00000636481.1	chr20	-	63356448	63359583	63356448	63356448	2	63356448,63359547,	63356538,63359583,		uc285syq.1
ENST00000636726.1	chr20	-	63356537	63359580	63356537	63356537	2	63356537,63359547,	63356604,63359580,		uc285syr.1
ENST00000626188.1	chr20	-	63359398	63359839	63359398	63359398	1	63359398,	63359839,		uc061ymj.1
ENST00000637443.1	chr20	-	63359656	63360136	63359656	63359656	2	63359656,63360059,	63359699,63360136,		uc285sys.1
ENST00000370257.1	chr20	+	63359987	63371177	63359987	63359987	5	63359987,63361817,63364214,63366482,63370860,	63360169,63361941,63364277,63369060,63371177,		uc061ymk.1
ENST00000628606.1	chr20	-	63360982	63361165	63360982	63360982	1	63360982,	63361165,		uc061yml.1
