#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000254108.11	chr16	+	31180109	31194871	31180214	31191438	15	31180109,31182397,31182512,31183857,31184208,31184938,31186801,31188324,31189122,31189664,31190039,31190274,31190741,31190962,31191398,	31180227,31182422,31182664,31184002,31184396,31185179,31186836,31188357,31189226,31189794,31190141,31190398,31190842,31191110,31194871,	Q6IBQ5	uc002ebf.3
ENST00000566605.5	chr16	+	31180137	31191602	31180214	31188352	14	31180137,31182397,31182512,31183857,31184208,31184938,31188324,31189122,31189664,31190039,31190274,31190741,31190962,31191398,	31180227,31182422,31182664,31184002,31184396,31185179,31188357,31189226,31189794,31190141,31190398,31190842,31191110,31191602,	H3BNZ4	uc059tly.1
ENST00000487045.6	chr16	+	31180138	31183350	31180138	31180138	3	31180138,31182397,31182512,	31180227,31182422,31183350,		uc059tlz.1
ENST00000380244.7	chr16	+	31180138	31191602	31180214	31191438	15	31180138,31182397,31182512,31183860,31184208,31184938,31186801,31188324,31189122,31189664,31190039,31190274,31190741,31190962,31191398,	31180227,31182422,31182664,31184002,31184396,31185179,31186836,31188357,31189226,31189794,31190141,31190398,31190842,31191110,31191602,	P35637	uc002ebh.4
ENST00000487509.6	chr16	+	31180149	31191602	31180149	31180149	13	31180149,31182397,31182512,31183857,31184208,31184938,31189122,31189664,31190039,31190274,31190741,31190962,31191398,	31180227,31182422,31182664,31184002,31184396,31188357,31189226,31189794,31190141,31190398,31190842,31191110,31191602,		uc002ebk.2
ENST00000568685.1	chr16	+	31180150	31191575	31180214	31191438	15	31180150,31182397,31182512,31183857,31184208,31184938,31186801,31188324,31189119,31189664,31190039,31190274,31190741,31190962,31191398,	31180227,31182422,31182664,31184002,31184396,31185179,31186836,31188357,31189226,31189794,31190141,31190398,31190842,31191110,31191575,	H3BPE7	uc059tma.1
ENST00000487974.1	chr16	+	31183549	31184398	31183549	31183549	2	31183549,31184208,	31184002,31184398,		uc059tmc.1
ENST00000570090.1	chr16	+	31185079	31187245	31185079	31185079	2	31185079,31186801,	31185179,31187245,		uc059tmd.1
ENST00000474990.5	chr16	+	31185498	31191102	31185498	31185498	9	31185498,31186801,31188324,31189122,31189664,31190039,31190274,31190741,31190962,	31185556,31186836,31188357,31189226,31189794,31190141,31190398,31190842,31191102,		uc059tme.1
ENST00000568901.2	chr16	+	31188151	31190120	31188151	31188151	4	31188151,31189122,31189664,31190039,	31188357,31189226,31189794,31190120,		uc059tmf.1
ENST00000564766.1	chr16	+	31188466	31189695	31188466	31188466	2	31188466,31189664,	31189226,31189695,		uc059tmg.1
ENST00000569760.5	chr16	+	31190215	31191605	31190215	31190215	4	31190215,31190741,31190962,31191398,	31190398,31190842,31191110,31191605,		uc059tmh.1
ENST00000483853.1	chr16	+	31190372	31191558	31190372	31190372	3	31190372,31190962,31191398,	31190842,31191110,31191558,		uc059tmi.1
